,City_name,Clouds,Humidity,Latitude,Longitude,Temperature,Wind
0,crossville,90,86,35.95,-85.03,35.6,13.87
1,mataura,44,77,-46.19,168.86,42.94,7.96
2,albany,75,51,42.65,-73.75,35.6,23.04
3,hithadhoo,8,100,-0.6,73.08,85.6,4.94
4,juneau,1,69,58.3,-134.42,42.8,3.36
5,fallon,90,58,46.84,-105.12,24.8,10.29
6,vardo,90,44,39.62,-77.74,41.0,9.17
7,marzuq,12,74,14.4,46.47,65.44,3.6
8,jamestown,0,61,-33.21,138.6,48.15,3.15
9,rikitea,36,100,-23.12,-134.97,75.52,4.83
10,nampula,75,94,-15.12,39.26,73.4,3.04
11,resistencia,0,48,-27.45,-58.99,89.6,10.29
12,butaritari,100,100,3.07,172.79,82.72,9.19
13,bathsheba,75,62,13.22,-59.52,86.0,21.92
14,quatre cocos,40,83,-20.21,57.76,77.0,12.75
15,port alfred,0,91,-33.59,26.89,67.87,17.36
16,barrow,0,68,-38.31,-60.23,65.35,4.94
17,kununurra,0,83,-15.77,128.74,73.4,3.83
18,leningradskiy,56,86,69.38,178.42,5.22,9.42
19,khatanga,0,40,71.98,102.47,-26.01,3.04
20,jeremie,68,97,18.65,-74.12,79.2,3.04
21,ribeira grande,75,77,38.52,-28.7,64.4,16.11
22,tanah merah,75,83,5.81,102.15,80.6,5.82
23,huilong,20,82,28.89,110.18,42.22,3.15
24,vaini,8,84,15.34,74.49,70.12,1.14
25,maun,20,57,-19.99,23.42,80.6,3.36
26,hilo,90,94,19.71,-155.08,73.4,6.93
27,lebu,75,72,8.96,38.73,62.6,3.15
28,cape town,20,72,-33.93,18.42,62.6,10.29
29,henties bay,0,86,-22.12,14.28,66.97,7.85
30,copperas cove,90,93,31.12,-97.9,39.2,21.92
31,nikolskoye,0,59,59.7,30.79,37.4,4.47
32,abu dhabi,0,54,24.47,54.37,82.4,6.93
33,gat,0,24,14.69,-16.54,104.0,14.45
34,busselton,80,100,-33.64,115.35,62.47,7.18
35,yellowknife,40,56,62.45,-114.38,12.2,9.17
36,codajas,36,70,-3.84,-62.06,88.39,4.5
37,padang,32,100,-0.92,100.36,81.27,4.72
38,praya,12,94,-8.71,116.27,77.0,2.24
39,clinton,1,50,41.84,-90.19,30.2,12.75
40,port elizabeth,90,35,39.31,-74.98,44.6,11.41
41,vanimo,100,100,-2.67,141.3,82.54,1.81
42,hermanus,20,88,-34.42,19.24,53.92,2.04
43,upernavik,24,100,72.79,-56.15,6.12,10.65
44,ushuaia,75,86,-54.81,-68.31,39.2,19.46
45,landau,0,28,51.34,9.08,69.8,6.93
46,tuktoyaktuk,20,70,69.44,-133.03,5.0,11.41
47,moron,40,55,10.49,-68.2,89.6,4.7
48,comodoro rivadavia,0,44,-45.87,-67.48,60.8,21.92
49,robe,68,91,7.12,40.01,55.9,1.7
50,kapaa,90,100,22.08,-159.32,71.6,5.82
51,lima,44,76,-12.06,-77.04,68.22,2.71
52,morondava,80,97,-20.3,44.28,79.39,1.03
53,berlevag,80,100,70.86,29.09,29.25,8.97
54,marsh harbour,0,96,26.54,-77.06,77.05,12.33
55,saint anthony,90,93,43.97,-111.68,46.4,6.93
56,komsomolskiy,0,84,67.55,63.78,20.62,14.9
57,colares,75,76,38.8,-9.45,57.2,11.41
58,key west,1,61,47.93,-96.78,24.8,5.82
59,gbarnga,44,80,7.0,-9.47,81.0,9.64
60,fortuna,75,67,38.18,-1.13,62.6,16.11
61,meadow lake,5,60,54.13,-108.44,10.4,6.93
62,north bend,90,71,43.41,-124.22,55.4,24.16
63,pedernales,24,75,0.07,-80.05,84.16,5.73
64,hasaki,20,93,35.73,140.83,44.6,1.12
65,samarai,76,100,-10.62,150.67,81.64,6.06
66,hobart,75,67,-42.88,147.33,57.2,4.7
67,chuy,20,70,-33.69,-53.46,81.72,9.86
68,road town,20,62,18.42,-64.62,84.2,6.93
69,punta arenas,75,87,-53.16,-70.91,42.8,20.8
70,atuona,68,100,-9.8,-139.03,80.92,14.45
71,avera,90,88,33.19,-82.53,69.8,8.05
72,east london,20,77,-33.02,27.91,64.4,11.41
73,norman wells,5,65,65.28,-126.83,5.0,3.36
74,sao filipe,12,89,14.9,-24.5,73.08,19.48
75,cabo san lucas,5,26,22.89,-109.91,86.0,9.17
76,qaanaaq,0,76,77.48,-69.36,-0.81,7.52
77,oyo,0,56,7.84,3.93,84.6,5.95
78,barcanesti,0,52,44.88,26.05,64.4,13.87
79,harindanga,75,83,22.04,88.32,71.6,5.82
80,carnarvon,0,25,-30.97,22.13,55.45,5.95
81,chamba,20,65,32.56,76.12,52.2,2.37
82,college,1,78,64.86,-147.8,23.0,1.7
83,barra patuca,0,74,15.8,-84.28,85.42,9.31
84,marsaxlokk,0,59,35.84,14.54,62.6,12.75
85,manga,48,48,11.67,-1.07,87.31,5.73
86,kodiak,1,73,39.95,-94.76,32.0,8.05
87,mar del plata,32,47,-46.43,-67.52,61.57,16.02
88,puerto ayora,20,69,-0.74,-90.35,82.4,12.75
89,vitre,75,87,48.12,-1.21,53.6,4.7
90,talnakh,92,78,69.49,88.39,-4.14,6.4
91,tongliao,0,41,43.61,122.27,27.37,9.53
92,nuevitas,20,38,21.55,-77.27,87.8,8.05
93,ankara,0,31,39.92,32.85,64.4,5.82
94,dalvik,0,29,57.79,14.13,50.0,11.41
95,itarema,48,98,-2.92,-39.92,82.0,6.73
96,constitucion,5,10,23.99,-104.67,68.0,3.36
97,garmsar,92,93,35.22,52.34,47.7,2.48
98,kasulu,12,95,-4.57,30.11,64.45,0.58
99,lompoc,90,93,34.64,-120.46,62.6,10.29
100,broome,0,72,52.47,1.45,62.6,11.41
101,avarua,90,94,-21.21,-159.78,78.8,10.29
102,portobelo,20,55,9.55,-79.65,89.6,6.93
103,leshukonskoye,92,99,64.9,45.76,32.77,10.42
104,mapastepec,80,93,15.44,-92.9,76.5,2.82
105,pevek,0,76,69.7,170.27,-6.93,3.94
106,fairbanks,1,78,64.84,-147.72,23.0,1.7
107,barentu,0,27,15.11,37.59,71.1,5.39
108,belyy yar,92,86,53.6,91.39,37.4,2.24
109,kaitangata,20,76,-46.28,169.85,43.38,7.18
110,boshan,0,34,36.48,117.83,50.77,16.24
111,tamiahua,0,88,21.28,-97.45,82.98,3.27
112,san patricio,0,41,-26.98,-56.83,89.65,2.71
113,georgetown,90,83,6.8,-58.16,77.0,13.87
114,saint-philippe,75,44,45.36,-73.48,37.4,24.16
115,husavik,0,100,50.56,-96.99,19.0,10.2
116,muravlenko,12,79,63.79,74.5,10.62,6.96
117,mawlaik,56,98,23.63,94.42,65.7,2.15
118,kahului,75,100,20.89,-156.47,73.4,13.87
119,chumphon,64,91,10.5,99.18,73.35,8.41
120,nazca,12,48,-14.83,-74.94,79.2,3.94
121,barra do garcas,12,72,-15.89,-52.26,87.75,5.5
122,saskylakh,80,77,71.97,114.09,-3.69,7.63
123,kalmunai,68,97,7.42,81.82,76.87,3.15
124,sinnamary,92,93,5.38,-52.96,81.0,9.75
125,chokurdakh,0,64,70.62,147.9,-3.42,5.95
126,bredasdorp,92,72,-34.53,20.04,64.4,11.41
127,palora,44,100,-1.7,-77.97,68.32,3.15
128,mataram,76,94,-5.32,105.06,73.81,0.13
129,cidreira,0,62,-30.17,-50.22,84.87,0.47
130,te anau,68,86,-45.41,167.72,43.12,7.29
131,victoria,75,83,5.28,115.24,82.4,10.29
132,nizwa,64,22,22.93,57.53,82.18,6.4
133,mazagao,90,100,-0.12,-51.29,78.8,3.36
134,kaeo,12,87,-35.1,173.78,52.02,3.6
135,provideniya,44,100,64.42,-173.23,16.83,6.29
136,calbuco,90,58,-41.77,-73.13,57.2,13.87
137,ponta do sol,48,81,-20.63,-46.0,76.5,9.98
138,polunochnoye,0,79,60.87,60.43,31.32,8.63
139,necochea,32,86,-38.55,-58.74,61.39,3.38
140,bluff,0,67,-23.58,149.07,70.3,11.1
141,ilulissat,20,79,69.22,-51.1,21.2,4.7
142,dauphin,1,52,51.15,-100.04,15.8,3.36
143,castro,76,90,-42.48,-73.76,52.12,6.62
144,kavieng,88,100,-2.57,150.8,84.07,3.71
145,medicine hat,20,58,50.04,-110.68,24.8,6.93
146,ust-maya,0,87,60.42,134.54,19.45,5.95
147,rogovatoye,0,89,51.23,38.38,31.69,6.62
148,prince rupert,1,53,54.32,-130.32,50.0,5.82
149,yenagoa,8,70,4.92,6.26,82.81,7.74
150,badin,90,100,35.41,-80.12,59.0,4.61
151,grand gaube,40,83,-20.01,57.66,77.0,12.75
152,bandarbeyla,0,100,9.49,50.81,82.27,5.17
153,jamsa,0,55,61.86,25.19,37.4,6.93
154,tarumovka,0,69,44.07,46.54,47.17,14.12
155,port blair,64,100,11.67,92.75,83.25,10.42
156,sept-iles,75,53,50.2,-66.38,26.6,11.41
157,aitape,0,100,-3.15,142.36,78.57,3.15
158,kloulklubed,40,88,7.04,134.26,80.6,3.36
159,antofagasta,0,64,-23.65,-70.4,68.0,12.75
160,visby,0,52,57.64,18.3,42.8,13.87
161,cherskiy,0,59,68.75,161.3,2.07,4.5
162,taltal,0,75,-25.41,-70.49,67.5,3.6
163,koplik,0,35,42.21,19.44,73.4,1.12
164,natitingou,40,36,10.31,1.38,93.2,9.17
165,sobolevo,0,76,54.43,31.9,34.75,5.73
166,linqiong,64,82,30.42,103.46,59.0,2.71
167,westport,75,93,53.8,-9.52,48.2,3.36
168,kaka,92,84,37.35,59.62,43.75,2.59
169,pacific grove,75,87,36.62,-121.92,62.6,8.05
170,mayfield,20,87,55.87,-3.04,48.2,2.24
171,faanui,88,100,-16.48,-151.75,81.64,8.08
172,langsa,20,96,4.47,97.97,68.58,2.37
173,thinadhoo,0,100,0.53,72.93,84.79,2.93
174,wajir,90,94,1.75,40.07,78.8,1.12
175,mackay,90,85,53.65,-115.58,12.2,9.17
176,souillac,92,93,45.6,-0.6,55.4,4.7
177,haines junction,44,88,60.75,-137.51,20.17,2.71
178,kavaratti,0,98,10.57,72.64,86.95,8.63
179,viedma,20,48,-40.81,-62.99,70.47,16.69
180,qaqortoq,90,92,60.72,-46.03,26.6,17.22
181,torbay,90,100,47.66,-52.73,35.6,23.04
182,bonavista,92,89,48.65,-53.11,34.3,11.1
183,tashla,20,86,53.71,49.75,37.4,6.71
184,marystown,92,95,47.17,-55.16,38.17,14.56
185,arraial do cabo,40,69,-22.97,-42.02,82.4,11.41
186,uri,0,64,40.64,8.49,69.8,2.24
187,jardim,8,35,-21.48,-56.15,93.33,4.27
188,lahij,24,73,13.06,44.88,78.4,4.27
189,yaan,56,85,7.38,8.57,76.77,8.41
190,lagoa,20,72,37.14,-8.45,60.8,17.22
191,grindavik,75,74,63.84,-22.43,39.2,8.05
192,tasiilaq,75,62,65.61,-37.64,23.0,26.4
193,sena madureira,76,91,-9.07,-68.66,80.92,1.92
194,cap malheureux,40,83,-19.98,57.61,77.0,12.75
195,atasu,64,96,48.68,71.64,37.99,10.31
196,bara,8,21,10.41,10.6,92.52,6.62
197,tiznit,0,78,29.7,-9.73,60.22,14.79
198,pitimbu,75,62,-7.47,-34.81,86.0,8.05
199,belmonte,92,100,40.36,-7.35,45.82,4.38
200,tumut,0,77,-35.3,148.22,44.37,2.59
201,esso,76,97,55.93,158.7,18.82,2.48
202,praia da vitoria,40,72,38.73,-27.07,64.4,20.27
203,laguna,5,18,27.52,-110.01,84.2,9.17
204,nome,90,93,30.04,-94.42,68.0,12.75
205,touros,76,89,-5.2,-35.46,81.91,6.96
206,coihaique,90,93,-45.58,-72.07,44.6,6.93
207,hoopstad,100,64,-27.83,25.91,73.62,3.38
208,zeya,0,55,53.74,127.27,22.5,5.73
209,esperance,40,55,10.24,-61.45,87.8,13.87
210,dikson,88,80,73.51,80.55,-1.08,24.29
211,zhireken,0,62,52.82,117.29,14.05,3.71
212,san cristobal,40,45,-0.39,-78.55,68.0,3.36
213,amot,32,90,59.57,7.99,35.02,2.15
214,tarko-sale,0,77,64.92,77.78,5.05,8.19
215,new norfolk,75,67,-42.78,147.06,57.2,4.7
216,russell,0,63,-33.01,-68.8,64.4,6.93
217,bambous virieux,40,83,-20.34,57.76,77.0,12.75
218,ponta delgada,20,82,37.73,-25.67,62.6,18.34
219,guerrero negro,0,71,27.97,-114.04,66.6,5.5
220,skibbereen,75,81,51.55,-9.27,51.8,8.05
221,valreas,0,34,44.38,4.99,69.8,11.41
222,tezu,48,80,27.93,96.16,59.41,1.36
223,kang,92,40,-23.67,22.79,78.48,5.17
224,tiksi,44,65,71.64,128.87,-3.96,2.93
225,arman,75,85,59.7,150.17,17.6,8.95
226,kati,40,48,12.75,-8.07,86.0,12.75
227,norman,75,74,35.22,-97.44,30.2,13.87
228,thompson,20,46,55.74,-97.86,10.4,8.05
229,khash,48,28,28.22,61.21,68.77,6.62
230,chunoyar,92,89,57.45,97.32,32.22,2.37
231,pangody,12,74,65.85,74.49,8.29,14.45
232,seduva,0,64,55.77,23.77,42.8,6.93
233,ostrovnoy,56,91,68.05,39.51,28.81,14.45
234,novopokrovka,88,78,45.85,134.51,23.05,3.38
235,portland,75,67,45.52,-122.67,57.2,16.11
236,flinders,90,88,-34.58,150.85,66.2,8.05
237,klaksvik,0,55,62.23,-6.59,39.2,11.41
238,urengoy,20,68,65.96,78.37,2.44,12.66
239,cuenca,92,100,40.07,-2.13,42.04,7.74
240,paraiso,5,10,24.01,-104.61,68.0,3.36
241,tuatapere,36,100,-46.13,167.69,51.22,14.67
242,apache junction,75,17,33.41,-111.55,82.4,8.05
243,virden,0,100,49.85,-100.93,18.37,4.38
244,bethel,1,78,60.79,-161.76,10.4,10.29
245,raudeberg,92,80,61.99,5.14,41.0,5.82
246,kawalu,76,99,-7.38,108.21,67.23,1.81
247,port lincoln,0,74,-34.72,135.86,67.5,13.78
248,iqaluit,75,62,63.75,-68.52,23.0,18.34
249,saldanha,48,78,41.42,-6.55,49.15,4.5
250,saint george,20,59,39.45,22.34,60.8,5.82
251,naze,75,83,5.43,7.07,75.2,3.36
252,yeppoon,40,73,-23.13,150.74,73.4,8.05
253,tilichiki,80,78,60.47,166.1,18.63,2.71
254,cairns,20,78,-16.92,145.77,78.8,11.41
255,petrovsk-zabaykalskiy,44,71,51.27,108.84,22.5,2.37
256,gunjur,0,51,13.18,-16.76,82.4,12.75
257,yerofey pavlovich,0,58,53.97,121.97,22.69,7.07
258,tabas,76,74,33.6,56.92,59.77,3.83
259,omsukchan,48,81,62.53,155.8,8.29,2.71
260,airai,0,78,-8.93,125.41,62.2,1.7
261,dingle,36,95,11.0,122.67,74.52,11.43
262,kurchum,92,93,48.57,83.65,43.2,2.59
263,kushima,8,100,31.5,131.29,45.19,9.42
264,nanortalik,32,95,60.14,-45.24,29.44,11.54
265,mahina,8,22,13.76,-10.85,100.72,8.52
266,tabuk,76,97,17.41,121.44,61.66,2.59
267,vieques,40,70,18.43,-65.83,84.2,14.99
268,katangli,88,90,51.71,143.23,23.58,6.73
269,umm kaddadah,0,14,13.6,26.69,74.35,6.85
270,hami,24,45,42.84,93.51,41.13,4.94
271,namibe,0,100,-15.19,12.15,79.12,5.73
272,caernarfon,76,81,53.14,-4.27,50.0,4.7
273,tocopilla,48,100,-22.09,-70.2,67.69,7.4
274,aksarka,0,78,66.56,67.8,17.56,15.01
275,severo-kurilsk,92,98,50.68,156.12,31.42,25.86
