,City_name,Clouds,Humidity,Latitude,Longitude,Temperature,Wind
276,half moon bay,75,77,37.46,-122.43,62.6,14.99
277,araouane,56,8,18.9,-3.53,97.39,2.93
278,clyde river,75,76,70.47,-68.59,-4.01,13.87
279,citrus park,1,15,33.55,-112.44,82.4,8.05
280,nemuro,8,100,43.32,145.57,32.58,18.25
281,mapiri,80,78,-15.31,-68.22,63.64,3.15
282,nelson bay,0,93,-32.72,152.14,64.4,5.82
283,zinder,0,3,13.81,8.99,102.2,9.17
284,sola,75,81,58.89,5.65,51.8,5.82
285,sovetskiy,88,99,56.76,48.47,32.85,13.78
286,lukovetskiy,40,100,64.29,41.92,30.2,13.42
287,aklavik,5,70,68.22,-135.01,10.4,2.24
288,kantang,12,100,7.42,99.52,80.29,9.08
289,yar-sale,0,78,66.83,70.83,16.12,17.02
290,sibolga,76,100,1.74,98.78,67.69,1.92
291,bilibino,0,75,68.06,166.44,-4.05,2.37
292,constantine,40,41,36.36,6.61,75.2,10.29
293,rio grande,0,40,-32.03,-52.1,87.8,4.7
294,businga,36,96,3.34,20.89,72.19,1.7
295,inta,0,84,66.04,60.13,33.67,5.39
296,aquiraz,40,66,-3.9,-38.39,86.0,9.17
297,yablochnyy,75,92,47.17,142.07,23.0,2.24
298,auki,0,18,12.18,6.51,88.2,6.73
299,santa marta,75,70,11.24,-74.21,84.2,4.7
300,boyolangu,32,97,-8.09,111.9,69.22,3.94
301,ahipara,0,100,-35.17,173.16,57.79,6.4
302,iquitos,75,62,-3.75,-73.25,87.8,8.05
303,lavrentiya,8,100,65.58,-170.99,11.62,7.63
304,caravelas,20,100,-17.73,-39.27,78.22,6.96
305,qasigiannguit,20,79,68.82,-51.19,21.2,4.7
306,harper,90,45,30.3,-99.24,41.0,18.34
307,sanaur,20,58,30.3,76.46,73.72,9.64
308,mackenzie,1,49,55.34,-123.09,26.6,10.29
309,save,0,54,8.04,2.49,88.39,3.15
310,katsuura,0,79,33.93,134.5,42.94,14.23
311,hofn,24,100,64.25,-15.21,36.63,5.95
312,cascais,75,76,38.7,-9.42,57.2,9.17
313,praia,40,42,-20.25,-43.81,84.2,6.93
314,port-gentil,20,83,-0.72,8.78,84.2,10.29
315,turinskaya sloboda,0,74,57.62,64.39,21.52,2.71
316,wuzhou,0,77,23.48,111.3,45.72,2.82
317,fez,75,72,34.03,-5.02,59.0,14.99
318,lodwar,64,95,3.12,35.6,75.25,2.04
319,port macquarie,75,100,-31.43,152.91,60.8,4.7
320,eureka,90,82,40.8,-124.16,57.2,17.22
321,namatanai,76,100,-3.66,152.44,82.72,1.25
322,geraldton,75,51,49.72,-86.95,14.0,13.87
323,kolondieba,12,30,11.09,-6.89,96.94,4.27
324,xingcheng,44,68,40.62,120.71,33.04,3.49
325,bonthe,88,76,7.53,-12.5,83.89,5.84
326,port keats,0,89,-14.25,129.55,74.97,5.95
327,lorengau,0,100,-2.02,147.27,81.37,5.39
328,stillwater,1,60,36.12,-97.06,35.6,13.87
329,huancavelica,56,51,-12.79,-74.97,56.25,4.38
330,pionerskiy,0,88,61.2,62.86,30.42,6.17
331,tonekabon,90,87,36.82,50.88,55.4,4.7
332,bowen,90,78,-20.01,148.25,75.2,10.29
333,huarmey,44,51,-10.07,-78.15,77.32,3.38
334,lensk,20,72,60.71,114.91,12.07,2.37
335,whitehorse,75,42,60.72,-135.06,30.2,2.24
336,gilbues,48,86,-9.83,-45.34,81.45,6.06
337,northam,40,81,51.04,-4.21,51.8,8.05
338,gobabis,100,28,-22.45,18.97,84.2,3.36
339,marawi,8,97,8.0,124.29,61.93,1.81
340,luanda,75,74,-8.83,13.24,84.2,13.87
341,lubango,68,87,-14.92,13.49,69.75,2.93
342,floro,92,80,61.6,5.03,41.0,5.82
343,strezhevoy,0,78,60.73,77.6,32.0,8.95
344,andros town,75,48,24.73,-77.79,87.8,10.29
345,tak bai,75,83,6.26,102.05,80.6,5.82
346,kontagora,8,41,10.4,5.47,89.73,5.17
347,cayenne,75,66,4.94,-52.33,86.0,13.87
348,la rioja,8,63,-29.41,-66.86,74.62,5.73
349,jonesboro,90,80,35.84,-90.7,33.8,13.87
350,birao,56,18,10.3,22.78,86.41,7.63
351,fayaoue,0,100,-20.65,166.53,79.47,21.83
352,kushnarenkovo,90,69,55.11,55.34,39.2,17.9
353,freeport,75,65,26.54,-78.7,82.4,13.87
354,chambersburg,90,44,39.94,-77.66,39.2,9.17
355,kysyl-syr,0,62,63.9,122.77,9.37,5.17
356,sao joao da barra,75,88,-21.64,-41.05,77.0,9.17
357,pescara,0,58,42.46,14.21,59.0,5.82
358,sigli,68,100,5.38,95.96,77.41,3.94
359,marshfield,1,38,42.09,-70.71,44.6,9.17
360,kichera,68,88,55.93,110.1,17.65,2.15
361,tres picos,40,48,16.23,-93.58,86.0,4.16
362,mehamn,80,88,71.03,27.85,27.45,5.28
363,ancud,88,93,-41.87,-73.83,50.95,4.61
364,vestmannaeyjar,20,64,63.44,-20.27,39.2,5.82
365,laguna de duero,75,76,41.58,-4.72,48.2,9.17
366,hervey bay,80,100,-25.3,152.85,73.9,13.56
367,port-cartier,75,53,50.03,-66.88,26.6,11.41
368,plouzane,90,71,48.38,-4.62,55.4,6.93
369,suluq,0,65,31.67,20.25,59.95,9.19
370,makiyivka,0,54,48.05,37.93,57.79,10.65
371,meghri,0,95,38.9,46.25,37.45,2.15
372,wasilla,90,87,61.58,-149.44,33.8,3.36
373,mahebourg,40,83,-20.41,57.7,77.0,12.75
374,batie,0,48,45.06,5.82,64.4,3.36
375,thunder bay,20,41,48.41,-89.26,21.2,16.11
376,high level,5,43,58.52,-117.13,12.2,8.05
377,bonoua,40,70,5.27,-3.6,87.8,13.87
378,yulara,0,28,-25.24,130.99,69.8,5.82
379,luang prabang,8,78,19.89,102.14,55.45,2.04
380,sumbe,0,100,-11.2,13.84,79.66,7.74
381,kirakira,80,100,-10.46,161.92,78.22,4.16
382,kayerkan,88,63,69.35,87.76,-3.42,8.97
383,myitkyina,80,96,25.38,97.4,63.19,2.59
384,chapais,90,78,49.78,-74.86,17.6,10.29
385,karasjok,32,75,69.47,25.52,32.0,6.93
386,mandalgovi,36,70,45.76,106.27,22.87,3.15
387,nsanje,20,62,-16.92,35.26,83.62,10.65
388,canton,40,43,40.8,-81.38,35.6,6.93
389,awjilah,0,33,29.14,21.3,66.33,5.95
390,natal,40,66,-5.81,-35.21,86.0,13.87
391,oeiras,36,79,-7.01,-42.13,84.7,5.39
392,chenzhou,0,84,25.81,113.03,36.9,2.71
393,coquimbo,0,63,-29.95,-71.34,66.2,9.17
394,brae,76,93,60.4,-1.35,44.6,10.29
395,beyneu,0,84,45.32,55.19,39.79,4.5
396,along,64,90,28.17,94.8,56.8,1.7
397,buala,44,100,-8.15,159.59,77.68,2.93
398,pavilosta,24,76,56.89,21.19,50.0,3.36
399,herat,20,55,34.35,62.22,62.6,10.29
400,acapulco,5,69,16.86,-99.88,80.6,10.29
401,svetlaya,12,100,46.54,138.33,27.45,4.61
402,kenai,75,74,60.55,-151.26,30.2,5.82
403,mount gambier,8,60,-37.83,140.78,58.69,6.4
404,rawson,0,30,-43.3,-65.11,71.29,5.73
405,takoradi,8,94,4.89,-1.75,83.17,9.75
406,kongolo,24,81,-5.39,27.0,75.6,3.94
407,panzhihua,92,74,26.59,101.72,47.88,1.59
408,la palma,12,61,5.36,-74.39,79.2,2.71
409,elko,90,93,40.83,-115.76,50.0,5.82
410,varhaug,75,81,58.61,5.65,51.8,5.82
411,san quintin,0,68,17.54,120.52,70.83,8.63
412,hereford,75,76,52.06,-2.72,55.4,5.82
413,roros,20,69,62.57,11.38,35.6,9.17
414,popondetta,92,96,-8.77,148.24,70.83,1.36
415,grants pass,75,100,42.44,-123.33,53.6,10.29
416,beringovskiy,68,100,63.05,179.32,14.58,14.45
417,hirara,92,100,24.8,125.28,64.81,19.15
418,imbituba,40,62,-28.24,-48.67,84.2,11.41
419,akdepe,0,50,42.05,59.39,57.2,9.17
420,toamasina,75,94,-18.17,49.38,77.0,9.17
421,galesong,20,88,-5.32,119.37,78.8,3.36
422,chiredzi,8,67,-21.05,31.67,79.75,8.97
423,saint-joseph,0,45,43.56,6.97,64.4,4.7
424,hamilton,20,83,32.3,-64.78,73.4,12.75
425,riberalta,90,100,-11.0,-66.08,75.2,6.93
426,chhatak,32,92,25.03,91.67,63.82,2.15
427,qandala,24,78,11.47,49.87,74.52,2.04
428,los llanos de aridane,40,59,28.66,-17.92,66.2,18.34
429,pisco,0,78,-13.71,-76.2,73.4,10.29
430,belgrade,0,82,44.82,20.46,55.4,5.82
431,saint-augustin,92,93,44.83,-0.61,55.4,4.7
432,kabanjahe,44,99,3.1,98.49,63.72,1.7
433,angol,75,81,-37.8,-72.71,51.8,3.36
434,jizan,0,62,16.89,42.56,87.8,6.93
435,kota kinabalu,75,88,5.98,116.07,77.0,3.36
436,camacha,40,55,33.08,-16.33,64.4,19.46
437,ulladulla,90,88,-35.36,150.48,66.2,8.05
438,gusau,0,18,12.17,6.66,88.2,6.73
439,vila velha,40,66,-3.71,-38.6,86.0,9.17
440,orlik,32,72,52.51,99.83,27.9,4.16
441,puquio,48,41,-14.69,-74.12,60.57,0.92
442,bozoum,64,63,6.31,16.38,79.47,6.29
443,biak,0,100,-0.91,122.88,74.7,3.04
444,nador,0,59,35.17,-2.93,62.6,10.29
445,ukiah,90,71,39.15,-123.21,57.2,5.17
446,olga,40,77,34.11,-118.17,71.6,5.82
447,venado tuerto,0,100,-33.75,-61.97,70.2,5.39
448,hobyo,8,88,5.35,48.53,81.1,5.5
449,coronado,20,55,8.53,-79.9,89.6,6.93
450,honiara,75,94,-9.43,159.96,75.2,1.7
451,tagudin,20,96,16.93,120.44,60.67,1.92
452,livingston,90,87,32.58,-88.19,48.2,11.41
453,terrace bay,75,52,48.78,-87.1,17.6,13.87
454,sault sainte marie,75,73,46.49,-84.36,28.4,17.22
455,gornopravdinsk,0,87,60.06,69.92,27.37,5.5
456,sisophon,44,73,13.59,102.97,68.22,18.03
457,rietavas,0,62,55.72,21.93,48.2,5.82
458,buraydah,20,83,26.33,43.97,73.4,12.75
459,erenhot,0,65,43.65,111.97,20.44,6.17
460,yate,75,93,51.54,-2.41,55.4,9.17
461,eyrarbakki,20,51,63.86,-21.15,39.2,3.36
462,puerto del rosario,40,40,28.5,-13.86,69.8,18.34
463,chipinge,12,72,-20.19,32.62,78.22,7.96
464,abalak,0,16,15.46,6.28,89.82,5.73
465,waddan,8,16,29.16,16.14,71.37,8.19
466,inhambane,75,78,-23.87,35.38,82.4,6.93
467,linxia,0,63,35.6,103.21,17.02,1.92
468,kletskaya,48,84,49.31,43.06,48.6,9.75
469,kieta,92,95,-6.22,155.63,80.1,3.94
470,greifswald,8,64,54.1,13.38,54.19,14.0
471,chute-aux-outardes,1,63,49.12,-68.38,30.2,12.75
472,aripuana,44,86,-9.17,-60.63,82.81,2.71
473,codo,36,100,-8.13,112.72,77.14,2.37
474,bouza,0,17,14.42,6.04,89.73,5.61
475,toowoomba,12,93,-27.56,151.95,51.8,1.12
476,cockburn town,48,100,21.46,-71.14,77.32,7.18
477,kjopsvik,0,74,68.1,16.37,28.4,3.36
478,churapcha,0,83,62.0,132.43,16.92,5.73
479,batagay-alyta,20,54,67.8,130.41,2.17,2.71
480,suntar,48,71,62.16,117.65,12.87,2.59
481,mardin,0,26,37.32,40.72,71.6,10.29
482,kodinsk,24,85,58.6,99.18,24.22,1.36
483,vestmanna,0,55,62.16,-7.17,39.2,11.41
484,denia,92,92,38.84,0.11,59.41,5.95
485,ballina,75,93,54.11,-9.15,48.2,3.36
486,kundiawa,36,98,-6.02,144.97,56.35,1.03
487,srednekolymsk,0,87,67.46,153.71,8.56,4.16
488,montes claros,75,54,-16.73,-43.87,84.2,6.93
489,santa vitoria do palmar,20,70,-33.52,-53.37,81.72,9.86
490,lashio,56,73,22.93,97.75,63.27,2.37
491,novosil,0,90,52.97,37.04,37.81,10.54
492,dunedin,36,97,-45.87,170.5,38.17,2.59
493,beachwood,40,75,41.46,-81.51,35.6,10.29
494,taclobo,68,99,12.31,122.59,80.73,21.5
495,yichun,64,74,47.72,128.88,25.2,2.71
496,sitka,44,77,37.17,-99.65,29.7,4.83
497,podgorenskiy,0,88,50.4,39.64,33.49,6.17
498,camargo,0,10,27.69,-105.17,81.91,5.61
499,lata,12,100,30.78,78.62,42.94,1.7
500,ocampo,92,87,13.56,123.37,79.02,15.57
501,porto novo,40,51,-23.68,-45.44,84.2,3.36
502,sarandi,0,45,-27.94,-52.92,84.43,7.4
503,alofi,100,100,-19.06,-169.92,75.2,5.82
504,abha,0,77,18.22,42.5,68.0,6.93
505,fuerte olimpo,0,51,-21.04,-57.87,92.89,8.75
506,starokorsunskaya,0,54,45.05,39.31,59.0,8.95
507,northport,90,76,33.23,-87.58,51.8,12.75
508,victor harbor,0,42,-35.55,138.62,64.4,11.41
509,izumo,75,100,35.37,132.75,39.2,10.29
510,jalpan,0,22,19.0,-100.36,77.22,3.15
511,fort nelson,20,43,58.81,-122.69,14.0,3.36
512,launceston,88,81,-41.43,147.14,53.6,9.17
513,poum,0,82,41.28,20.71,48.52,1.7
514,taoudenni,8,11,22.68,-3.98,94.69,3.71
515,manaure,20,62,11.78,-72.45,86.0,16.11
516,zimovniki,0,82,47.15,42.46,46.08,4.61
517,vire,92,93,48.84,-0.89,53.6,4.7
518,baruun-urt,8,70,46.68,113.28,17.29,2.93
519,paamiut,76,100,61.99,-49.67,30.42,17.47
520,elizabeth city,90,93,36.3,-76.22,50.0,21.92
521,behshahr,75,81,36.69,53.54,53.6,4.7
522,fairview,90,30,40.81,-74.0,44.6,9.17
523,bissora,0,62,12.22,-15.45,84.2,11.41
524,brest,0,50,52.09,23.69,46.72,9.64
525,kalevala,44,74,64.12,29.58,30.97,9.64
526,alice springs,0,42,-23.7,133.88,62.6,4.7
527,malinyi,20,93,-8.94,36.14,73.35,2.26
528,stepantsevo,48,81,56.13,41.7,35.47,23.85
529,mulege,0,31,26.88,-111.98,81.64,2.93
530,bandiagara,0,16,14.35,-3.61,99.19,4.05
531,conceicao do araguaia,32,95,-8.26,-49.26,83.97,4.27
532,ronne,0,67,48.45,0.83,62.6,9.17
533,pula,75,62,-1.95,-79.93,84.2,3.36
534,ciudad bolivar,68,41,8.12,-63.55,92.89,9.75
535,pangnirtung,20,61,66.15,-65.72,12.2,11.41
536,ossora,56,90,59.24,163.07,16.75,3.27
537,podzvizd,0,58,45.18,15.86,55.4,8.05
538,chateaubelair,75,70,13.28,-61.25,84.2,19.46
539,deputatskiy,8,86,69.3,139.9,9.37,5.95
540,matara,40,62,-13.74,-72.9,57.2,2.48
541,jinchang,12,55,38.52,102.19,23.13,3.15
542,sussex,75,69,45.72,-65.51,39.2,12.75
543,brosteni,0,71,47.24,25.7,53.6,3.36
544,takaka,44,100,-40.86,172.81,54.37,3.38
545,sidi ali,92,76,36.1,0.42,57.25,16.8
546,honningsvag,88,99,70.98,25.97,30.25,7.18
547,bilma,0,14,18.69,12.92,80.37,6.62
548,smithers,90,79,54.78,-127.17,28.4,2.24
549,mount barker,0,42,-35.06,138.86,64.4,11.41
550,atyrau,0,81,47.1,51.92,42.8,4.47
551,planaltina,40,57,-15.62,-47.66,78.8,5.82
552,kulhudhuffushi,0,100,6.62,73.07,84.87,3.71
